path,label
Data/rock/MKU8h3j49NjuhQpi.png,rock
Data/scissors/bzQcSRVP3M7abinD.png,scissors
Data/paper/3tNHP8R9YHru011u.png,paper
Data/paper/JUn3VuVCoOKC5Nv2.png,paper
Data/paper/JOsGCJTsKvKGNHN1.png,paper
Data/scissors/mxyADQuZCMwE1Nv5.png,scissors
Data/rock/7wFK6yhjKaNkhwZs.png,rock
Data/scissors/cHA3IuTLuXm10QNQ.png,scissors
Data/paper/54xah1BB0YTQS3Ib.png,paper
Data/paper/50Wjlq1jW7o3wcl8.png,paper
Data/rock/Tp8sMtigMXoyabfq.png,rock
Data/paper/JApmimWQx0vFx1qw.png,paper
Data/paper/7ZGsbIMypDIEZxR0.png,paper
Data/paper/ePEd8TOzTgrGz5M2.png,paper
Data/scissors/qHXkVDE4py7UfvIQ.png,scissors
Data/rock/Gr80cGhz5I8abSjg.png,rock
Data/scissors/nIwv11WKj5Ch85mv.png,scissors
Data/rock/h89sRVkct1nAdPfo.png,rock
Data/paper/ehzdlf5B1HtVgpRs.png,paper
Data/paper/o0CfvFooVIcHCGzO.png,paper
Data/paper/N3RjXoHuCkTs2Prd.png,paper
Data/scissors/nOIg15ZJ3XuUVkT3.png,scissors
Data/scissors/mAjn51U2iJwlh99P.png,scissors
Data/paper/QZtii0ogsjl6hxun.png,paper
Data/scissors/1WX9KKoq0nkWiTxI.png,scissors
Data/paper/73UfZ8Dwj0OB66IV.png,paper
Data/paper/ueuECCtQxOjHF1ij.png,paper
Data/rock/9ElQEC0AP2RtKdOo.png,rock
Data/scissors/TJUiCdN9LUl2xPSE.png,scissors
Data/rock/wcL0C9QgqDYxaj3W.png,rock
Data/scissors/PKilVWkKw9dYVTMx.png,scissors
Data/rock/EvCwicQf5dVFto6x.png,rock
Data/paper/ul2wGK0NgJXs8mHv.png,paper
Data/rock/rrf0pB5CgUgAmucg.png,rock
Data/paper/eW9ezZkV7Jxu1BEk.png,paper
Data/paper/av2NxK494nd72Q13.png,paper
Data/rock/Q7dUVly6sK3jyeMM.png,rock
Data/rock/xBWG6t5EvReNN7mW.png,rock
Data/rock/5G0hCO6RJXNyxcgV.png,rock
Data/scissors/3dI7E5pwR07mvKvF.png,scissors
Data/scissors/jX4XP2bjq762S0Wj.png,scissors
Data/paper/JRZTPL2YQ6cfIMh9.png,paper
Data/scissors/dLkgXxZJ7KFoD4Ky.png,scissors
Data/rock/CpWDLKaUbf6poyIj.png,rock
Data/paper/HQSUE6P23pvLctuy.png,paper
Data/rock/DxBmPozYTIgMWX7j.png,rock
Data/rock/ReFXAsLF8NkgNAL4.png,rock
Data/scissors/GGQjHIWNHMjBHBsr.png,scissors
Data/paper/0t08v9bAaA0mXGCQ.png,paper
Data/paper/ldG6HLXeY0KilKyr.png,paper
Data/rock/SE5eUJl8euX8gTJ3.png,rock
Data/scissors/sNnaELZrclDFKtoL.png,scissors
Data/rock/fl3m2aXD9qq7un0x.png,rock
Data/scissors/HYMbsGR9sq7jfwQp.png,scissors
Data/rock/cfFHU3Y39yeofrTg.png,rock
Data/paper/RmTijOM3U31zKnrY.png,paper
Data/scissors/Q2F8cfDaghfz8PyX.png,scissors
Data/paper/NnWvTxntBJ5mFY73.png,paper
Data/scissors/e7wuzMq70FDcvaFr.png,scissors
Data/rock/YmNXS0VhjQjldK3P.png,rock
Data/scissors/5mipmm4t8RM5o0tW.png,scissors
Data/scissors/AgfZ2awwDPr3d50b.png,scissors
Data/rock/clIAiFiURAZ36c8y.png,rock
Data/scissors/Mwmjta6k9iqQKKd7.png,scissors
Data/paper/PZrfX01MvfB3oeyB.png,paper
Data/rock/qMWVb6BibNukvVrj.png,rock
Data/paper/ojF0xyUvkvV3iujz.png,paper
Data/paper/5U8st2LCr9zLl5og.png,paper
Data/rock/H97IYAhAPk2kHnsI.png,rock
Data/paper/0cb6cVL8pkfi4wF6.png,paper
Data/rock/mdHOkH88KHqpjkEM.png,rock
Data/paper/zz1yffW197uYO6DI.png,paper
Data/scissors/XN42vZFFWvOwwrEb.png,scissors
Data/paper/1fKclJk4eBWOQSR1.png,paper
Data/rock/E5mlbTDFPHA7QX9U.png,rock
Data/scissors/mdSPppG9v9OmnIyY.png,scissors
Data/paper/B6dJfDThlXx80Uk6.png,paper
Data/scissors/wNuL3RC8AtAW70Bx.png,scissors
Data/scissors/kUUKyIbaWlM3GgEs.png,scissors
Data/scissors/KP9dgcRNzQE9tV0Z.png,scissors
Data/scissors/qpw9fZk3IDIXXJEr.png,scissors
Data/paper/Q8idpb4gCSAWs9YH.png,paper
Data/paper/aeVtGl2LQBr831P5.png,paper
Data/scissors/HqB3HFyK3VvZha0Y.png,scissors
Data/scissors/GVxDgpt5p4FA2e6n.png,scissors
Data/scissors/tVigGbWgM7Rp9ic4.png,scissors
Data/rock/zihL322yBqQvYvhE.png,rock
Data/rock/Jgjf4Q4LunuuLJKq.png,rock
Data/paper/sak9CBkECbg1PSLz.png,paper
Data/rock/eb93o1ZDeBlrdfyc.png,rock
Data/rock/UElo8u1bUerF3JNe.png,rock
Data/paper/oLcpS2BYyqZLBj9P.png,paper
Data/scissors/7dBQ0fOpCs03OmnR.png,scissors
Data/scissors/EBh8bZgOANio5kQw.png,scissors
Data/paper/mK7Kqflg12vHFBEK.png,paper
Data/rock/jJVH6kP3VRPHbWvs.png,rock
Data/scissors/mtLouezQUnTbfEgj.png,scissors
Data/scissors/sJtSZbQH0MF9U4oa.png,scissors
Data/scissors/mfrG6yVMg6CEzoCN.png,scissors
Data/paper/lqo55attrFxuKqlu.png,paper
Data/scissors/HAjiwatcnWjWeEeT.png,scissors
Data/scissors/WUEe440w137BuSEE.png,scissors
Data/rock/JspEtoXj1u5CjLmG.png,rock
Data/paper/3tyVmhojjwETaf1u.png,paper
Data/paper/j8dvLhkeL92SpOGj.png,paper
Data/scissors/ngrJl9cJoUVFdYwO.png,scissors
Data/scissors/qHNvtsWSBDT0FnMt.png,scissors
Data/scissors/9YPMzKwEOWcIx1oN.png,scissors
Data/scissors/SiIASaSafeaodwOd.png,scissors
Data/rock/RpCSMPJ0LhFPYksZ.png,rock
Data/rock/CEyvCbffQZzgGEL4.png,rock
Data/rock/dLacOlQK2ZsURwOa.png,rock
Data/paper/MJAUydLSEPqZHwPz.png,paper
Data/paper/RmJmYq6VCNrrvi2l.png,paper
Data/scissors/ntwoVP9pgUbs3LGq.png,scissors
Data/paper/FltCm1ep2lcnsOYz.png,paper
Data/rock/VkRNUIG8Q54sx8r4.png,rock
Data/scissors/64ktckSF0c26K6AY.png,scissors
Data/rock/Xt7qc6XbbZ4OcpW6.png,rock
Data/paper/ZveWRNmdKejc1c4w.png,paper
Data/rock/OYgsl2meK8nj0c8l.png,rock
Data/paper/zrZmvRbPtB57a4Vr.png,paper
Data/paper/1Tt9U9SzrOm98Xtw.png,paper
Data/rock/udR0gHeGBkkQVGlr.png,rock
Data/paper/4fCqIVTEuFLsQMaZ.png,paper
Data/scissors/LiCKhA8ipxSqU9Fo.png,scissors
Data/paper/Qxx5l8WCNBjMb5xI.png,paper
Data/paper/H8cGdqeAOdIyIMO5.png,paper
Data/rock/bn4i63wrObqbJECw.png,rock
Data/rock/i85n2S7UREOq5svM.png,rock
Data/paper/9yGlnLxGtzq1gJti.png,paper
Data/rock/3wrX8EawcOolzrAY.png,rock
Data/scissors/tPxruYoQszERdzTA.png,scissors
Data/rock/NQxWkhRHMkt2GrpB.png,rock
Data/rock/os5rNj49BIDCwHLD.png,rock
Data/scissors/z6HDaayUjgx6LnhS.png,scissors
Data/scissors/Xu49k2rxvWRflm2W.png,scissors
Data/scissors/KM8TqJbWqew79vPt.png,scissors
Data/paper/RtFKKjIDZ0zA0khp.png,paper
Data/scissors/95NcnE0omOzXLqs3.png,scissors
Data/rock/XRnYppsMGdfUa5mZ.png,rock
Data/paper/LAhqdrhPNg3ZLxpr.png,paper
Data/rock/86KzO2PHymh6qYQ4.png,rock
Data/scissors/TUB0nmtfE8SZjEzL.png,scissors
Data/rock/fMQzh7RRM5fbtBiC.png,rock
